Name,Suit,Value,Order
Ace of Diamonds,Diamonds,1,1
Two of Diamonds,Diamonds,2,2
Three of Diamonds,Diamonds,3,3
Four of Diamonds,Diamonds,4,4
Five of Diamonds,Diamonds,5,5
Six of Diamonds,Diamonds,6,6
Seven of Diamonds,Diamonds,7,7
Eight of Diamonds,Diamonds,8,8
Nine of Diamonds,Diamonds,9,9
Ten of Diamonds,Diamonds,10,10
Jack of Diamonds,Diamonds,10,11
Queen of Diamonds,Diamonds,10,12
King of Diamonds,Diamonds,10,13
Ace of Hearts,Hearts,1,1
Two of Hearts,Hearts,2,2
Three of Hearts,Hearts,3,3
Four of Hearts,Hearts,4,4
Five of Hearts,Hearts,5,5
Six of Hearts,Hearts,6,6
Seven of Hearts,Hearts,7,7
Eight of Hearts,Hearts,8,8
Nine of Hearts,Hearts,9,9
Ten of Hearts,Hearts,10,10
Jack of Hearts,Hearts,10,11
Queen of Hearts,Hearts,10,12
King of Hearts,Hearts,10,13
Ace of Clubs,Clubs,1,1
Two of Clubs,Clubs,2,2
Three of Clubs,Clubs,3,3
Four of Clubs,Clubs,4,4
Five of Clubs,Clubs,5,5
Six of Clubs,Clubs,6,6
Seven of Clubs,Clubs,7,7
Eight of Clubs,Clubs,8,8
Nine of Clubs,Clubs,9,9
Ten of Clubs,Clubs,10,10
Jack of Clubs,Clubs,10,11
Queen of Clubs,Clubs,10,12
King of Clubs,Clubs,10,13
Ace of Spades,Spades,1,1
Two of Spades,Spades,2,2
Three of Spades,Spades,3,3
Four of Spades,Spades,4,4
Five of Spades,Spades,5,5
Six of Spades,Spades,6,6
Seven of Spades,Spades,7,7
Eight of Spades,Spades,8,8
Nine of Spades,Spades,9,9
Ten of Spades,Spades,10,10
Jack of Spades,Spades,10,11
Queen of Spades,Spades,10,12
King of Spades,Spades,10,13